"Date","Shasta_storage","Oroville_storage","Folsom_storage","WY_type_SAC","RockSlough_chloride","JerseyPoint_EC","SWP_DeltaExport","CVP_DeltaExport","scenario","year","month"
1962-01-31,3097.30909898692,893.137664889352,479.700676056379,4,218.5856245,1616.3087,3238.27034236701,1955.79812809806,"MaxWater_noSMSCG",1962,1
1962-02-28,3563.84945930659,1524.23270328638,567,4,140.2479025,1127.1736,3702.97330084454,4597.05022739473,"MaxWater_noSMSCG",1962,2
1962-03-31,4056.50548235857,1860.5984935523,716.372833279252,3,109.3193035,468.69818,2012.23036601536,3015.62070278873,"MaxWater_noSMSCG",1962,3
1962-04-30,4337.57491688307,2249.53167355876,847.730353511785,3,52.07983795,244.09946,1257.98721487542,2332.48080600664,"MaxWater_noSMSCG",1962,4
1962-05-31,4251.23517108909,2343.63321962669,963.531280358448,3,29.5648275,245.97865,1757.99089804011,3259.474708932,"MaxWater_noSMSCG",1962,5
1962-06-30,3920.15385695022,2170.76956743875,872.053381880604,3,26.6937375,275.3886,1599.58759811493,2962.29570688752,"MaxWater_noSMSCG",1962,6
1962-07-31,3292.76332807397,1655.35248656644,622.758366677159,3,27.11562,349.76178,4465.22891346165,3821.09366565833,"MaxWater_noSMSCG",1962,7
1962-08-31,2924.83555722997,1288.05441866145,486.982585644124,3,36.602266,739.4133,4775.26404035953,2985.8211500115,"MaxWater_noSMSCG",1962,8
1962-09-30,2742.78117554429,1288.91361915546,443.967686249817,3,95.727169,1314.9329,659.296762751019,4494.49799167769,"MaxWater_noSMSCG",1962,9
1962-10-31,3210.5344985435,1763.60822864369,664.870476485128,3,163.131892,1768.4979,6680,4598.14645322844,"MaxWater_noSMSCG",1962,10
1962-11-30,2982.67347559824,1654.58426448909,515.135652656629,3,133.31090845,975.7556,4388.44871700729,5643.0990498763,"MaxWater_noSMSCG",1962,11
1962-12-31,3323.4270898925,1940.37621320483,567,3,25.6377345,479.51373,2534.51936023639,3800.38699131159,"MaxWater_noSMSCG",1962,12
1963-01-31,3554.37651638816,2294.5972935416,567,3,68.06089375,592.81866,2086.46909332045,3127.90549193344,"MaxWater_noSMSCG",1963,1
1963-02-28,3829.40236042504,2952.80004882812,567,2,29.291547,320.28412,3853.10384327075,4597.05022739473,"MaxWater_noSMSCG",1963,2
1963-03-31,4225.86152143938,2824.80004882812,746.545249801477,3,29.027445,254.373,2117.84909451412,3174.04879553687,"MaxWater_noSMSCG",1963,3
1963-04-30,3927.90316126872,3076.80938071708,900,2,26.9615025,241.79561,2499.64438981464,2710.25024224299,"MaxWater_noSMSCG",1963,4
1963-05-31,4552.1,3425.19995117188,967,1,27.167793,222.06543,2386.89176955577,3580.33765433366,"MaxWater_noSMSCG",1963,5
1963-06-30,4500,3425.19995117188,967,1,24.997035,210.466,2010.07554640564,3015.11331960846,"MaxWater_noSMSCG",1963,6
1963-07-31,3910.96415435563,2869.83810724864,853.93416213102,1,21.2316675,217.3081,7180,4590.73226598506,"MaxWater_noSMSCG",1963,7
1963-08-31,3646.07895782971,2389.29241955409,770.431583131883,1,21.933597,342.08713,7180,4592.28852900449,"MaxWater_noSMSCG",1963,8
1963-09-30,3400,2187.06455482412,752,1,67.8796765,974.04095,6704.52132761365,4596.97579210957,"MaxWater_noSMSCG",1963,9
1963-10-31,3250,2202.49696423628,712,1,152.985208,1770.3079,6680,4598.14645322844,"MaxWater_noSMSCG",1963,10
1963-11-30,3252.1,2328.83995798231,567,1,133.9837735,1461.3732,6680,4598.6391064493,"MaxWater_noSMSCG",1963,11
1963-12-31,3252.01773095044,2353.81661260028,546.174124806467,1,127.2031675,758.506,4334.16430443459,6680.32838120216,"MaxWater_noSMSCG",1963,12
1964-01-31,3709.89200389635,2427.86190061785,567,1,90.09752125,617.4374,2011.76479196539,3015.84903990086,"MaxWater_noSMSCG",1964,1
1964-02-29,3876.27734244111,2506.36700849683,567,2,132.11319025,666.68,1731.77876907576,3213.31251483217,"MaxWater_noSMSCG",1964,2
1964-03-31,3953.46068545221,2610.3442768558,566.896784668192,3,49.0026046,332.92474,1529.76251066043,2916.1629117137,"MaxWater_noSMSCG",1964,3
1964-04-30,3867.84674524891,2689.6021805239,686.866153376941,4,34.153774,302.6964,1223.29519333515,2268.05276600328,"MaxWater_noSMSCG",1964,4
1964-05-31,3727.87152344642,2585.17625441685,687.074350471399,4,36.0719038,317.21677,1259.49136798851,2333.6898674076,"MaxWater_noSMSCG",1964,5
1964-06-30,3466.55183599749,2366.56134879357,661.200957422424,4,37.27498,322.9732,1574.24524359818,2915.23133421355,"MaxWater_noSMSCG",1964,6
1964-07-31,2966.03984614805,1713.59568692015,496.908427306564,4,32.354626,372.24744,5760.03627212038,4990.18236690716,"MaxWater_noSMSCG",1964,7
1964-08-31,2718.76137626017,1418.00911135857,401.302788882707,4,61.8112285,1222.4928,2895.32319433662,3190.6616802691,"MaxWater_noSMSCG",1964,8
1964-09-30,2635.22153068265,1396.90452407857,393.96398878323,4,139.1177635,1576.2571,997.209403590562,3632.55006553656,"MaxWater_noSMSCG",1964,9
1964-10-31,2555.94465770381,1239.32825120988,376.04753036813,4,158.83493275,1800.4694,2871.00855888272,2488.14158725809,"MaxWater_noSMSCG",1964,10
1964-11-30,2593.74462047991,1161.62274732014,381.462414202529,4,174.2696065,1737.8126,4272.0709096888,2999.42135590909,"MaxWater_noSMSCG",1964,11
1964-12-31,3292.93234709341,2637.01603730488,567,4,166.6041325,1702.0134,3058.02113672304,4241.78683726682,"MaxWater_noSMSCG",1964,12
1965-01-31,3342.54571356214,2687.89990234375,567,4,81.4652845,469.8722,2867.14086574026,4298.91315056315,"MaxWater_noSMSCG",1965,1
1965-02-28,3761.72554530198,2893.69995117188,567,1,25.130109,212.4159,2915.51183210931,4370.3179755587,"MaxWater_noSMSCG",1965,2
1965-03-31,4043.82608322547,2991.10009765625,756,1,26.0362995,222.8159,2584.2679087821,3873.67701693883,"MaxWater_noSMSCG",1965,3
1965-04-30,4479.66173307156,3246.91723037422,900,1,30.538891,231.04677,2812.18275275392,3934.72038178226,"MaxWater_noSMSCG",1965,4
1965-05-31,4552.1,3425.19995117187,967,1,28.430736,210.86948,2824.7994679966,4237.1992019949,"MaxWater_noSMSCG",1965,5
1965-06-30,4441.25642878904,3425.19995117188,967,1,21.4884345,204.67902,2602.87173049952,3904.30759574928,"MaxWater_noSMSCG",1965,6
1965-07-31,3988.41720162554,2902.16760454598,853.422545802153,1,21.445518,210.67458,7180,4590.73226598506,"MaxWater_noSMSCG",1965,7
1965-08-31,3700,2602.85289943366,792,1,21.99645,300.9879,7180,4592.28852900449,"MaxWater_noSMSCG",1965,8
1965-09-30,3400,2548.10487762703,752,1,57.5195902,794.11914,7180,4596.97579210956,"MaxWater_noSMSCG",1965,9
